state,postcode,country,state_ok,postcode_state_country,Latitude,Longitude,dist_to_rch,km_to_rch,km_to_albury,km_to_austin,km_to_barwon,km_to_bendigo,km_to_monash,km_to_sunshine,km_to_northern,min_distance,closest_hosp,TravelDuration,TravelDuration_min
VIC,3181,Australia,Victoria,3181 Victoria Australia,-37.8527565,144.9974213,7.802222463,7.802222463,254.076277,11.98489891,64.52259203,137.9725985,13.21533617,18.94983085,22.21841353,7.802222463,RCH,1294,21.56666667
VIC,3182,Australia,Victoria,3182 Victoria Australia,-37.86292648,144.9802094,8.168801618,8.168801618,255.9262327,13.70353913,62.64469226,138.2929976,13.9203252,18.39780992,23.49270997,8.168801618,RCH,1261,21.01666667
VIC,3183,Australia,Victoria,3183 Victoria Australia,-37.86769867,145.0003204,9.366297923,9.366297923,255.1504706,13.38621895,63.89960798,139.5656008,12.11496837,20.11618075,23.86168565,9.366297923,RCH,1323,22.05
VIC,3184,Australia,Victoria,3184 Victoria Australia,-37.8807869,144.9855042,10.19993106,10.19993106,257.1021613,15.24476576,62.05132591,140.2772889,12.68255007,20.04742909,25.41260926,10.19993106,RCH,1621,27.01666667
VIC,3185,Australia,Victoria,3185 Victoria Australia,-37.88612747,145.0061188,11.42437235,11.42437235,256.3562975,15.13154371,63.35653972,141.6215544,10.78042271,21.79599445,25.88876699,10.78042271,Monash,1607,26.78333333
VIC,3186,Australia,Victoria,3186 Victoria Australia,-37.90843964,144.9960022,13.40927891,13.40927891,258.8123156,17.76557386,61.43587085,143.4415417,11.03757377,22.86447313,28.4058534,11.03757377,Monash,1828,30.46666667
VIC,3187,Australia,Victoria,3187 Victoria Australia,-37.91732407,145.0166779,14.96758344,14.96758344,258.3822082,18.24984036,62.64768808,145.1346659,9.14496771,24.83610103,29.34779418,9.14496771,Monash,1900,31.66666667
VIC,3188,Australia,Victoria,3188 Victoria Australia,-37.93783569,145.0153351,17.04917572,17.04917572,260.1999919,20.50933136,61.61949721,147.1231826,9.443582275,26.4249596,31.62804535,9.443582275,Monash,2145,35.75
VIC,3189,Australia,Victoria,3189 Victoria Australia,-37.94145584,145.057785,18.98542598,18.98542598,258.1316458,20.54653861,64.91852596,149.1667745,5.985188577,29.28857096,32.25544602,5.985188577,Monash,2225,37.08333333
VIC,3190,Australia,Victoria,3190 Victoria Australia,-37.95038223,145.0404205,19.17145337,19.17145337,259.8652051,21.60205599,63.14061304,149.354477,7.778834592,28.93252111,33.10147192,7.778834592,Monash,2210,36.83333333
VIC,3191,Australia,Victoria,3191 Victoria Australia,-37.95298386,145.0135193,18.59509915,18.59509915,261.5934144,22.19417146,60.83679092,148.5655808,10.06636781,27.61577603,33.31247369,10.06636781,Monash,2188,36.46666667
VIC,3192,Australia,Victoria,3192 Victoria Australia,-37.96354294,145.060379,21.25185384,21.25185384,259.8925785,23.00232299,64.28291434,151.4527407,7.115519335,31.19575345,34.72114969,7.115519335,Monash,2401,40.01666667
VIC,3193,Australia,Victoria,3193 Victoria Australia,-37.97802353,145.0323639,21.75979902,21.75979902,262.6904159,24.72517377,61.43893349,151.7922529,10.02889742,30.82555629,36.13071663,10.02889742,Monash,2404,40.06666667
VIC,3194,Australia,Victoria,3194 Victoria Australia,-37.97993469,145.0814972,23.73287723,23.73287723,260.1590009,24.90148143,65.47425163,153.9218728,7.419279904,33.79176784,36.78292566,7.419279904,Monash,2568,42.8
VIC,3195,Australia,Victoria,3195 Victoria Australia,-38.00554276,145.1096039,27.43028227,27.43028227,260.8887826,28.02293571,67.0768312,157.5872863,9.467620342,37.55341683,40.03748436,9.467620342,Monash,2645,44.08333333
VIC,3196,Australia,Victoria,3196 Victoria Australia,-38.04820251,145.1256104,32.24644224,32.24644224,263.8258165,32.93456941,67.45228214,162.4396815,14.16602729,42.03200424,44.97096368,14.16602729,Monash,2857,47.61666667
VIC,3197,Australia,Victoria,3197 Victoria Australia,-38.07130814,145.1391907,35.07179785,35.07179785,265.1883026,35.68099484,68.23083758,165.2676921,16.80622516,44.76903576,47.74112195,16.80622516,Monash,2761,46.01666667
VIC,3198,Australia,Victoria,3198 Victoria Australia,-38.10475159,145.1384583,38.35858391,38.35858391,268.2383531,39.3223109,67.76700112,168.5474766,20.50602328,47.67191826,51.35369464,20.50602328,Monash,2996,49.93333333
VIC,3199,Australia,Victoria,3199 Victoria Australia,-38.16015625,145.1388092,44.00711238,44.00711238,273.2493562,45.40348658,67.58126209,174.079729,26.65505215,52.78036895,57.39449155,26.65505215,Monash,3031,50.51666667
VIC,3201,Australia,Victoria,3201 Victoria Australia,-38.09277725,145.1757965,38.7300687,38.7300687,265.2585312,38.74519664,71.13904403,168.872463,19.71352615,48.65347839,50.86647377,19.71352615,Monash,2772,46.2
VIC,3202,Australia,Victoria,3202 Victoria Australia,-37.95606613,145.0932007,22.02415502,22.02415502,257.4427845,22.37019148,67.27402948,152.0561177,4.604105267,32.66837507,34.35790772,4.604105267,Monash,2202,36.7
VIC,3204,Australia,Victoria,3204 Victoria Australia,-37.91573334,145.0391846,15.69269705,15.69269705,256.9726782,17.77348999,64.5182254,145.8764482,7.184964772,26.14712528,29.25080438,7.184964772,Monash,2045,34.08333333
VIC,3205,Australia,Victoria,3205 Victoria Australia,-37.83398438,144.9573517,4.552113736,4.552113736,254.8918946,12.41182642,62.69467098,134.5169919,17.29747923,14.86481454,20.69952246,4.552113736,RCH,861,14.35
VIC,3206,Australia,Victoria,3206 Victoria Australia,-37.84656143,144.9612732,5.987223185,5.987223185,255.6902116,13.19044437,62.20256433,135.9226719,16.258748,15.96495947,21.98272314,5.987223185,RCH,1099,18.31666667
VIC,3207,Australia,Victoria,3207 Victoria Australia,-37.83316803,144.9222565,5.038292829,5.038292829,256.9239521,14.73877976,60.230908,133.0896462,19.97127711,12.37692184,21.57247353,5.038292829,RCH,787,13.11666667
VIC,3211,Australia,Victoria,3211 Victoria Australia,-37.93201828,144.4668732,45.11562996,45.11562996,293.1323915,55.54943291,25.93478315,132.5061591,57.37260848,36.32134883,57.23094961,25.93478315,Barwon,2763,46.05
VIC,3212,Australia,Victoria,3212 Victoria Australia,-38.02140427,144.4497833,50.67143048,50.67143048,300.9988006,61.04898208,16.19964194,142.2120556,59.87536096,43.52516297,64.29476094,16.19964194,Barwon,2612,43.53333333
VIC,3213,Australia,Victoria,3213 Victoria Australia,-37.97019577,144.2885132,61.28234836,61.28234836,307.6482821,71.70403308,21.24901335,135.7635255,73.19005253,52.05195351,72.85784808,21.24901335,Barwon,4262,71.03333333
